MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,DCB518ASTS06G,,,,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),Freud,Diablo,,DCB518ASTS06G,,Abrasives>Sanding Belts,"Freud Diablo, Sanding Belt, 6pc Series, DCB518ASTS06G, 18 in Length",BELT SAND 1/2X18 6PC DCB518ASTS06G,Diablo 6pc DCB518ASTS06G Sanding Belt,"Diablo Sanding Belt, 18 in Length, 1/2 in Width, 6 Pack Size.","6pc, Sanding Belt",Premium abrasive belt for smooth finishing and long-lasting performance.,18 in Length,1/2 in Width,6 per Box,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Length,18,in,Width,1/2,in,Pack Size,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100075678,,,,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100075678,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100075678, P150 Grit",DISC SAND P150 3MABR-7100075678,"3M Cubitron II 3MABR-7100075678 Sanding Disc, P150 Grit","3M Sanding Disc, P150 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P150 Grit, Film",Premium backing for high durability and consistent finish quality.,P150 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P150,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100045865,,,,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100045865,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100045865, P120 Grit",DISC SAND P120 3MABR-7100045865,"3M Cubitron II 3MABR-7100045865 Sanding Disc, P120 Grit","3M Sanding Disc, P120 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P120 Grit, Film",Premium backing for high durability and consistent finish quality.,P120 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P120,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100048736,,,,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100048736,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100048736, P80 Grit",DISC SAND P80 3MABR-7100048736,"3M Cubitron II 3MABR-7100048736 Sanding Disc, P80 Grit","3M Sanding Disc, P80 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P80 Grit, Film",Premium backing for high durability and consistent finish quality.,P80 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P80,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100075690,,,,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100075690,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100075690, P180 Grit",DISC SAND P180 3MABR-7100075690,"3M Cubitron II 3MABR-7100075690 Sanding Disc, P180 Grit","3M Sanding Disc, P180 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P180 Grit, Film",Premium backing for high durability and consistent finish quality.,P180 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P180,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100075692,,,,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100075692,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100075692, P220 Grit",DISC SAND P220 3MABR-7100075692,"3M Cubitron II 3MABR-7100075692 Sanding Disc, P220 Grit","3M Sanding Disc, P220 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P220 Grit, Film",Premium backing for high durability and consistent finish quality.,P220 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P220,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,3MABR-7100145365,,,,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M,3M,,3MABR-7100145365,,Abrasives>Sanding Discs,"3M, Sanding Disc, Cubitron II Series, 3MABR-7100145365, P320 Grit",DISC SAND P320 3MABR-7100145365,"3M Cubitron II 3MABR-7100145365 Sanding Disc, P320 Grit","3M Sanding Disc, P320 Grit, Stikit Attachment Type, Film Backing Material, Cubitron II Abrasive Material, 50 Pack Size, 775L Series.","Cubitron II, Sanding Disc, Stikit, P320 Grit, Film",Premium backing for high durability and consistent finish quality.,P320 Grit,Stikit Attachment Type,Film Backing Material,Cubitron II Abrasive Material,50 per Box,775L Series,,,,,,,,,,,,,,,,,,,,Sanding Disc,Grit,P320,,Attachment Type,Stikit,,Backing Material,Film,,Abrasive Material,Cubitron II,,Pack Size,50,,Series,775L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,DBD090094101F,,,,,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",,,,Freud Inc (2435),Freud,Diablo,,DBD090094101F,,Abrasives>Cut-Off Discs,"Freud Diablo, Cut-Off Disc, DBD090094101F - Professional Grade B2B Certified",DISC CUTOFF DBD090094101F,Diablo Standard Series DBD090094101F Cut-Off Disc,Diablo Cut-Off Disc.,Cut-Off Disc,"Delivers fast, clean cuts in metal with extended wheel life.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,DBDS12125A01F,,,,,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",,,,Freud Inc (2435),Freud,Diablo,,DBDS12125A01F,,Abrasives>Cut-Off Discs,"Freud Diablo, Cut-Off Disc, Steel Demon Series, DBDS12125A01F",DISC CUTOFF DBDS12125A01F,Diablo Steel Demon DBDS12125A01F Cut-Off Disc,Diablo Cut-Off Disc.,"Steel Demon, Cut-Off Disc","Delivers fast, clean cuts in metal with extended wheel life.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,DBDS12125G01F,,,,,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",,,,Freud Inc (2435),Freud,Diablo,,DBDS12125G01F,,Abrasives>Cut-Off Discs,"Freud Diablo, Cut-Off Disc, Speed Demon Series, DBDS12125G01F, 12 in Diameter",DISC CUTOFF 12X20 DBDS12125G01F,"Diablo Speed Demon DBDS12125G01F Cut-Off Disc, 12 in Diameter, 20 mm Thickness","Diablo Cut-Off Disc, 12 in Diameter, 20 mm Thickness.","Speed Demon, Cut-Off Disc, 12 in Diameter","Delivers fast, clean cuts in metal with extended wheel life.",12 in Diameter,20 mm Thickness,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Diameter,12,in,Thickness,20,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
